Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOiJcIjA1OTZkZDQ0LTlhODctNDk5Mi04NmE3LWYxNTdjNWJiMDY2Y1wiIn0.7a2cMT9HE-y9MXogkf-3SUy8sVQFRjb5NqYGXnsEs9Q&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcImQ5MmI0Y2JkLTE3OTktNDUwMi05MDg3LTEzY2M3ZDdlMjUwZVwiIn0.wP7sC-sjjEcbXR8je6v4wvGoxkqh6YC2xC5tL_8CXFA&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcImY3ZTJhMDJiLWYzMjYtNGUyZS05MzU3LWZkNjA0ZWQ2NmUyN1wiIn0.nPSjTbzSg3WQS8gedyWV8h76jr0_SbiVggEblos5vLg&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOiJcImJiYzMzMzNiLThmOTUtNDA2Ni04YzYwLWMwNDczODI0OTA4N1wiIn0.smUXx0IJ8o_u4OlsolNaavl581pq4ByLuqfSLfuGeEc&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcImY3ZTJhMDJiLWYzMjYtNGUyZS05MzU3LWZkNjA0ZWQ2NmUyN1wiIn0.nPSjTbzSg3WQS8gedyWV8h76jr0_SbiVggEblos5vLg&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjYyYzQwNmQ5LTViOGYtNGM2MS1iMjM5LTA3YTU4MThkNDRhNlwiIn0.OFcMuqBu4yuBopIkCrvqSFDBKmab7Q20Ldi-NK5Yhug&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOiJcImRjMGUwYmU3LTRhYzItNDIzMC1iMTQyLTE0ODFiZmY2ZGU4NlwiIn0.byt8E0RsDJ3NXcJ9l1exKCnoeCz6-RObv7w3hkGEft4&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjYyYzQwNmQ5LTViOGYtNGM2MS1iMjM5LTA3YTU4MThkNDRhNlwiIn0.OFcMuqBu4yuBopIkCrvqSFDBKmab7Q20Ldi-NK5Yhug&dm_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjYyYzQwNmQ5LTViOGYtNGM2MS1iMjM5LTA3YTU4MThkNDRhNlwiIn0.OFcMuqBu4yuBopIkCrvqSFDBKmab7Q20Ldi-NK5Yhug&dm_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjEyZTgyZDY4LTc3NjUtNDYwOC04MTE1LTJhNzQ1YzIwNGM4ZlwiIn0.2NXIx_bBqew56xLrfQ1zuu09bq6WEhdGmNIOK2AQY3Y&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOiJcIjZlNzg0YTRlLWE2MmItNDkzNS05NzA3LWQzNzczMDFlNzQwZlwiIn0.kRMmcxuj-eEoyCnAVcoaxJ1Ke_GFR20RfixXzB3dksI&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /users/all/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjEyZTgyZDY4LTc3NjUtNDYwOC04MTE1LTJhNzQ1YzIwNGM4ZlwiIn0.2NXIx_bBqew56xLrfQ1zuu09bq6WEhdGmNIOK2AQY3Y HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjBmMWE1YmM5LWE4M2EtNDc3Yi04NWQ2LWY1YjJmZGRiZWUwY1wiIn0.pxsCNKd0g65oNyAkqW2suB5xMh_jPj16Emm5P18iAGA&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOiJcIjc1YTc1NTE2LTM2N2UtNDkyMC05OTQ2LWVmZjM4YTg0ZmY4NFwiIn0.dEDTS0JSj6xQV9mLc_UEwUR6M7_shVNmnbvFANjpL7g&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjU4NWZkMmM5LTIzMWMtNDMyMS1hOTlhLThmNWNlNjFmZTlmZVwiIn0.GAFy4wBln6HnCOsxFEVF3C2UxmlWMpBb2b1tNuG_EY0&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOiJcImQ0MzA0OWRmLWQ3NmQtNDg5Ni05NzE0LTM5ZThiNGY1MzhhMFwiIn0.wbkaQ3kLQJYDSR9lLotVAQujkM-hhdcbmHzVhZrPHVc&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjczMGFiMTE0LThlZGItNDMzOC05Yzc5LTZjYTdkZTc2ZGY0MlwiIn0.zntjvI-SFoGM1mmX9IbLq_ynWEFI3fkEenGEWg0eL7w&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /admin/user/remove/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjRlMWVlYmFkLTE5ZjMtNDE2My05NjMzLTdlMmNlNWU4OTE4OFwiIn0.rkLG5cY-zPtt-brazadih2Sdx5hT27hEt261LFn4zKk&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /admin/user/remove/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjg4YjU5NzA3LWFiNzUtNGZiZS1hMzYyLTY4NGU2MWJkNGI0ZFwiIn0.uufPDcfYBIWRAK3JC7rGqb7B9rKZ_iWEvy5Ef1nm7fs&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOiJcIjAzMjU5MzYxLTFhMDItNGI1Yi1hNzljLWQ2MDJlMmUyMTZiN1wiIn0.-jkymO5VTSZySvzBH59S9ykaQCGc9mi_Rf9LuTfATpU&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /admin/user/remove/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcImQzYmEzNmI3LTI0YWItNDliNS05MTA5LTMzNTM3OWE5MDAwOFwiIn0.x7ivdlQEGNOS9RqdNcKcWuh4adyV5IeLsOgaHurlCAU&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOiJcIjgzMmI5MGY2LTU4MDUtNDdmZC05YmJjLThiMmM2OWNhMDdjYlwiIn0.A5uGTGIcN90u_1n-zXVf39-sB3hTXzuBDsuoVmG7Qlk&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /admin/user/remove/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjMyNWEzNTUxLTcxZmQtNGQ2Mi05ODA4LTA1NmFmNzE0ZDBmYlwiIn0.-hbgfZVIMysc2eBtus3Gc9_8wlYd5AqNnwRwkVOSAjI&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOiJcIjI5YjRjYWE3LTAxZGMtNDA5Mi04Y2FkLThjMWI2Yjc5NmZjYlwiIn0.ue_VhOdtyvJ1ScyUSsOmD1zWt2CR_TFSuFm6rNom6yQ&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:15] "POST /admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjNiODM5MmJmLWY5OGUtNDk0MS1hYTFiLWRjOWJiNzg0NGZjZlwiIn0.w9r5LgWn3HDjeSifss93YBwWGuRlO064DNrGM_AF5BA&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcImZlNTY0YTc2LWUyYWYtNDY4MS1iYmQwLTgzNTYxZmM3YWI0YVwiIn0.mUOiNyTKtQPcma0iinAg6G7cAw1Ybx0eSFxUFlDTGhA&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOiJcIjZmOGUxMGZkLWJmZGMtNGU4OS1iODk1LTMyN2Y1ZjMxNDJjOVwiIn0.e9G9wPbRBxVWP7pWzhlwLaCqRMi3GnR208N0J-ip9HM&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjZmNmUxZGZiLTM5NTYtNGQxOC04MWM5LTcwM2VmYzRlY2IyNVwiIn0.HddvZjNpiSn3Ug-t9ZiUAgYDqp51pg92idDDIbhQkuU&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjg1MGFkY2U0LWMxNjUtNGQ0MC1iYzE2LTRjZDM2NWQ0MTg3M1wiIn0.bW4aHsByXLEDby2l5YmAtZD1_NlkEBeYl1kjcgeXG1w&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOiJcIjM3YWI2YTUzLTA5NTctNGIxZC04OGNjLWZiNDZhOGJlMDczN1wiIn0.2ySr1vJ583qhorV3bydkO1R2tM8ioV3ddir9QvZBvlw&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcIjg3NDE2MDIyLTBkNDQtNDMxMC1hNjQ3LWU1NjJmYWM4NThiOFwiIn0.tA0FsAbO0GnnJrHosnqzdC0-X3l2OIY762iPC8WNDhE&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOiJcIjNjMmY4NzRjLTBkNjEtNDcxYy04YWFjLTdiZTNjYjVhMmM1N1wiIn0.ohCl4055IogWDULM3jA531soo6KVrXu0gUClAE9WD5U&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOiJcImE4Y2FlMGY2LWI2NTMtNGIxNS04ZTYwLTk0ZTQwZTRkNzMwZlwiIn0.wC5fRMO7Xl8DOL5jLJeSfFltU_mkLVxHgDCpr02t2no&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 20:26:16] "DELETE /clear/v1 HTTP/1.1" 200 -
